Date,Location_ISO_Code,Location,New_Cases,New_Deaths,New_Recovered,New_Active_Cases,Total_Cases,Total_Deaths,Total_Recovered,Total_Active_Cases,Location_Level,City_or_Regency,Province,Country,Continent,Island,Time_Zone,Special_Status,Total_Regencies,Total_Cities,Total_Districts,Total_Urban_Villages,Total_Rural_Villages,Area__km2_,Population,Population_Density,Longitude,Latitude,New_Cases_per_Million,Total_Cases_per_Million,New_Deaths_per_Million,Total_Deaths_per_Million,Total_Deaths_per_100rb,Case_Fatality_Rate,Case_Recovered_Rate,Growth_Factor_of_New_Cases,Growth_Factor_of_New_Deaths
2020-03-26,IDN,Indonesia,103,20,4,79,893,78,35,780,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.39,3.37,0.08,0.29,0.03,0.0873,0.0392,0.98,6.67
2020-03-28,IDN,Indonesia,109,15,13,81,1155,102,59,994,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.41,4.36,0.06,0.38,0.04,0.0883,0.051100000000000007,0.71,1.67
2020-04-01,IDN,Indonesia,149,21,22,106,1677,157,103,1417,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.56,6.32,0.08,0.59,0.06,0.093599999999999989,0.061399999999999996,1.31,1.5
2020-04-08,IDN,Indonesia,218,19,18,181,2956,240,222,2494,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.82,11.15,0.07,0.91,0.09,0.0812,0.0751,0.88,1.58
2020-04-09,IDN,Indonesia,337,40,30,267,3293,280,252,2761,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,1.27,12.42,0.15,1.06,0.11,0.085,0.0765,1.55,2.11
2020-04-10,IDN,Indonesia,219,26,30,163,3512,306,282,2924,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.83,13.24,0.1,1.15,0.12,0.087100000000000011,0.0803,0.65,0.65
2020-04-11,IDN,Indonesia,330,21,4,305,3842,327,286,3229,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,1.24,14.49,0.08,1.23,0.12,0.0851,0.074400000000000008,1.51,0.81
2020-04-12,IDN,Indonesia,399,46,73,280,4241,373,359,3509,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,1.5,15.99,0.17,1.41,0.14,0.088000000000000009,0.084600000000000009,1.21,2.19
2020-04-13,IDN,Indonesia,316,26,21,269,4557,399,380,3778,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,1.19,17.18,0.1,1.5,0.15,0.0876,0.0834,0.79,0.57
2020-04-14,IDN,Indonesia,282,60,46,176,4839,459,426,3954,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,1.06,18.25,0.23,1.73,0.17,0.0949,0.088000000000000009,0.89,2.31
